"DATA","SUM(NUOVI_POSITIVI)"
24-FEB-20,221
25-FEB-20,93
26-FEB-20,78
27-FEB-20,250
28-FEB-20,238
29-FEB-20,240
01-MAR-20,566
02-MAR-20,342
03-MAR-20,466
04-MAR-20,587
05-MAR-20,769
06-MAR-20,778
07-MAR-20,1247
08-MAR-20,1492
09-MAR-20,1797
10-MAR-20,977
11-MAR-20,2313
12-MAR-20,2651
13-MAR-20,2547
14-MAR-20,3497
15-MAR-20,3590
16-MAR-20,3233
17-MAR-20,3526
18-MAR-20,4207
19-MAR-20,5322
20-MAR-20,5986
21-MAR-20,6557
22-MAR-20,5560
23-MAR-20,4789
24-MAR-20,5249
25-MAR-20,5210
26-MAR-20,6153
27-MAR-20,5959
28-MAR-20,5974
29-MAR-20,5217
30-MAR-20,4050
31-MAR-20,4053
01-APR-20,4782
02-APR-20,4668
03-APR-20,4585
04-APR-20,4805
05-APR-20,4316
06-APR-20,3599
07-APR-20,3039
08-APR-20,3836
09-APR-20,4204
10-APR-20,3951
11-APR-20,4694
12-APR-20,4092
13-APR-20,3153
14-APR-20,2972
15-APR-20,2667
16-APR-20,3786
17-APR-20,3493
18-APR-20,3491
19-APR-20,3047
20-APR-20,2256
21-APR-20,2729
22-APR-20,3370
23-APR-20,2646
24-APR-20,3021
25-APR-20,2357
26-APR-20,2324
27-APR-20,1739
28-APR-20,2091
29-APR-20,2086
30-APR-20,1872
01-MAG-20,1965
02-MAG-20,1900
03-MAG-20,1389
